Date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2021-01-19,66.7936975175413,66.81663660655393,66.64076636815751,66.80134582519531,24270500,0.0,0.0,0.0
2021-01-20,67.00012401536958,67.00012401536958,66.80895726715242,66.92365264892578,24534700,0.0,0.0,0.0
2021-01-21,66.88545227050781,66.96191783669745,66.81662917717301,66.88545227050781,20451400,0.0,0.0,0.0
2021-01-22,66.74015077702963,66.82426463384799,66.66368522554411,66.75544738769531,26615900,0.0,0.0,0.0
2021-01-25,66.75546117324927,66.78604273300073,66.54899772425958,66.770751953125,28718200,0.0,0.0,0.0
2021-01-26,66.74779886422391,66.77838625150767,66.66368500768044,66.67133331298828,39103500,0.0,0.0,0.0
2021-01-27,66.54135542137335,66.69429240367427,66.3807759654194,66.48018646240234,46378600,0.0,0.0,0.0
2021-01-28,66.64839641197169,66.90073215591177,66.63309980085545,66.6789779663086,38836200,0.0,0.0,0.0
2021-01-29,66.62546416481918,66.8089885294264,66.44194563416087,66.50312042236328,46095900,0.0,0.0,0.0
2021-02-01,66.62433941149132,66.74713792077894,66.50922312822819,66.71643829345703,35620700,0.318,0.0,0.0
2021-02-02,66.88530851467459,66.96973105777668,66.83925612866418,66.87763214111328,29522300,0.0,0.0,0.0
2021-02-03,66.92367433494395,67.0464728825375,66.90065107110942,66.93135070800781,31911000,0.0,0.0,0.0
2021-02-04,67.03881939558993,67.13091833772638,67.00811974821112,67.06951904296875,21181100,0.0,0.0,0.0
2021-02-05,67.2536730069509,67.26902574963033,67.13855671363383,67.16925048828125,21653100,0.0,0.0,0.0
2021-02-08,67.22300597044567,67.36882781982422,67.19998270061929,67.36882781982422,16590100,0.0,0.0,0.0
2021-02-09,67.2690712478683,67.33047054940269,67.2076719463339,67.24604797363281,14404300,0.0,0.0,0.0
2021-02-10,67.24603512317647,67.2920816628481,67.1309129186388,67.23068237304688,20469400,0.0,0.0,0.0
2021-02-11,67.26139831542969,67.29209796776885,67.18465211226177,67.26139831542969,17047200,0.0,0.0,0.0
2021-02-12,67.19231218091619,67.37650419488587,67.19231218091619,67.36882781982422,17800100,0.0,0.0,0.0
2021-02-16,67.3304739970328,67.33814451859762,67.20767538767615,67.26139831542969,22264400,0.0,0.0,0.0
2021-02-17,67.12319725981007,67.23831939697266,67.10017400344857,67.23831939697266,20276700,0.0,0.0,0.0
2021-02-18,67.130923854682,67.22301694902781,67.06952455487843,67.14627075195312,26366700,0.0,0.0,0.0
