Date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2021-01-19,113.1812420845864,113.50559079882288,113.14798108141673,113.42243194580078,12807500,0.0,0.0,0.0
2021-01-20,113.39750781469303,113.53056454665975,113.33097310361039,113.3891830444336,12218400,0.0,0.0,0.0
2021-01-21,112.9150535302804,113.04811015955534,112.773672137171,112.94000244140625,25084300,0.0,0.0,0.0
2021-01-22,112.90677039924458,113.03152769106511,112.77371372090685,112.85687255859375,15998800,0.0,0.0,0.0
2021-01-25,113.06480543220383,113.41410305868162,113.04816858612527,113.3392562866211,14603700,0.0,0.0,0.0
2021-01-26,113.12302409355252,113.48063378546973,113.07312624725661,113.33094024658203,11926900,0.0,0.0,0.0
2021-01-27,113.45566577522366,113.47230261792171,113.08973137702313,113.13131713867188,13822700,0.0,0.0,0.0
2021-01-28,113.1396435574135,113.25607609067426,112.90677849089201,112.9483642578125,16896900,0.0,0.0,0.0
2021-01-29,112.62402880593136,113.02322429681921,112.2414701618043,112.77373504638672,18131600,0.0,0.0,0.0
2021-02-01,112.80455404235333,113.07954636508377,112.75455775008088,112.99622344970703,10682300,0.267,0.0,0.0
2021-02-02,112.67122225460412,112.79621297132962,112.5295491553411,112.69622039794922,12710600,0.0,0.0,0.0
2021-02-03,112.49623902284938,112.56290498661674,112.38790524232337,112.42957305908203,13189600,0.0,0.0,0.0
2021-02-04,112.33789504578827,112.67955329960148,112.18790618229812,112.6212158203125,10689500,0.0,0.0,0.0
2021-02-05,112.69623328024187,112.81289553426485,112.26291088734281,112.32123565673828,12016300,0.0,0.0,0.0
2021-02-08,112.43788614857866,112.83788187644113,112.38788986140352,112.8045425415039,13460300,0.0,0.0,0.0
2021-02-09,112.8879003146325,112.90456998537206,112.39625310729774,112.62957763671875,11755100,0.0,0.0,0.0
2021-02-10,112.81290205517153,112.95456246358552,112.73789489699597,112.89622497558594,9414500,0.0,0.0,0.0
2021-02-11,112.9462239732903,112.96289364386514,112.52957121555092,112.59623718261719,9241100,0.0,0.0,0.0
2021-02-12,112.1712284627848,112.44622074134159,112.13790184503395,112.22955322265625,13717100,0.0,0.0,0.0
2021-02-16,111.67959293189541,111.90457623425124,111.42127029311048,111.43792724609375,21429200,0.0,0.0,0.0
2021-02-17,111.94626529777655,112.02125974613125,111.68794260995458,111.99626159667969,16195400,0.0,0.0,0.0
2021-02-18,111.77126594423116,111.95459416351176,111.52960023916478,111.77959442138672,15414100,0.0,0.0,0.0
2021-02-19,111.48792059352631,111.57958469344062,110.95460566181517,110.97127532958984,13678500,0.0,0.0,0.0
2021-02-22,110.77965154578501,111.01297610298461,110.20466863153078,110.2796630859375,17978100,0.0,0.0,0.0
2021-02-23,109.92132520196975,110.38797422055495,109.79632175505665,110.36297607421875,23482500,0.0,0.0,0.0
2021-02-24,109.69632713201311,110.55463071423121,109.45467415017471,110.52963256835938,18120000,0.0,0.0,0.0
2021-02-25,109.7712906811969,109.92129222945101,108.146348080609,108.77965545654297,35471200,0.0,0.0,0.0
2021-02-26,109.52963811342508,110.26295076225486,109.15465331444743,110.22128295898438,23284400,0.0,0.0,0.0
2021-03-01,109.91986133324363,110.36241217339261,109.91986133324363,110.32901763916016,23890800,0.269,0.0,0.0
2021-03-02,110.30395968727923,110.31230513488097,110.02840702272553,110.20375061035156,13633400,0.0,0.0,0.0
2021-03-03,109.62762825074961,110.09524101713843,109.33538460554485,109.38548278808594,24043300,0.0,0.0,0.0
2021-03-04,109.42722472327985,109.51907562925719,108.39181566873008,108.49201202392578,21771800,0.0,0.0,0.0
2021-03-05,108.20812566899575,108.49202386713706,107.9409311122584,108.3500747680664,23789400,0.0,0.0,0.0
2021-03-08,108.15799862591659,108.2331458804649,107.32299515455699,107.3396987915039,15029200,0.0,0.0,0.0
2021-03-09,107.89081676469303,108.2331585447398,107.84906403801122,108.14966583251953,21900300,0.0,0.0,0.0
2021-03-10,108.3083347066175,108.79262563671405,108.3083347066175,108.6590347290039,19440400,0.0,0.0,0.0
2021-03-11,108.79263442559211,109.00974355780768,108.60058712806364,108.72584533691406,20622100,0.0,0.0,0.0
2021-03-12,107.82401999379766,107.9576108878276,107.4315672786894,107.47332000732422,14352000,0.0,0.0,0.0
2021-03-15,107.57352657580076,107.94927568689866,107.57352657580076,107.8407211303711,10111200,0.0,0.0,0.0
