,volatility_24h,volatility_7d,volatility_30d,trend_strength_7d,return_autocorr_7d,hurst_exponent,return_entropy_7d,volume_24h,volume_volatility_7d,jump_frequency_7d,variance_ratio,rsi,adx,atr,bb_width,max_drawdown_30d,var_95_30d,cvar_95_30d,vol_of_vol_30d,tail_ratio_30d,win_rate_30d,profit_factor_30d,sharpe_ratio_30d,sortino_ratio_30d,momentum_return_7d,meanrev_signal,fear_greed_proxy,regime_duration,volume_z,amihud_log,volume_volatility_24h,spread_proxy,next_day_return,next_day_volatility
2025-08-29 09:00:00+00:00,0.0036243246294404134,0.00430517228309437,0.0034754507131096305,0.03785695008710204,0.04630007252220132,-0.05087465153691307,-837.496096927725,552099328.0,1.935876859706546,0.017857142857142856,1.1878550414947455,25.625872690674512,45.30502121334636,482.4927455357143,0.034978454322512634,-0.11745455109914886,-0.004941910785385544,-0.008385786167351179,0.0011858107258882944,1.1296743412676606,0.48055555555555557,0.921648058342284,-2.592743515019357,-4.197499760261348,-0.00016298069223747873,-0.05019944515356675,0.7375,2,0.7387113635777068,0.00106979890131904,1.4615703695412776,0.003937658577310239,-0.0005852463250343165,0.00445450925632373
2025-08-29 10:00:00+00:00,0.0036356017385581335,0.004294175930557782,0.0034760058962967633,0.02911834485241614,0.045100503127339604,-0.03942469213563333,-838.1868373142133,591979690.6666666,1.9424151516539836,0.017857142857142856,1.1811458568233704,28.87577517218901,46.78699135039839,481.98158482142856,0.035219725812903106,-0.11745455109914886,-0.004941910785385544,-0.008385786167351179,0.0011854650061889082,1.1296743412676606,0.48194444444444445,0.9247383989895235,-2.4872535498574644,-4.026474833210883,-0.00012503929560292646,-0.0483933547992772,0.7402777777777778,3,0.3631225594260951,0.0017217471326552067,1.3627992419921313,0.0019638628497615804,-0.0006833431771318121,0.004427991481626278
2025-08-29 11:00:00+00:00,0.003652226390099978,0.004292575087620137,0.003472264134004681,0.02572662410834022,0.04551807889975379,-0.024764676737925186,-838.1868373142133,541224277.3333334,1.951202231746429,0.017857142857142856,1.1753310526576173,28.264416480525696,47.355862512067354,484.84542410714283,0.03589892846506426,-0.11745455109914886,-0.004941910785385544,-0.008385786167351179,0.001185231334709372,1.1296743412676606,0.48333333333333334,0.9301730309318726,-2.2984413399733663,-3.721901305948063,-0.00011043346573602884,-0.047697447483319395,0.7416666666666667,4,-0.5020339996001327,,1.485441487307591,0.0023182603940936205,0.002316657328772509,0.00446116611714618
2025-08-29 12:00:00+00:00,0.0038247916910225358,0.004318370535661404,0.0034785860467056616,0.017036055406140862,0.0467439306712591,-0.006893055033141497,-837.0065706001714,626362368.0,1.9212645816346257,0.017857142857142856,1.1290472487161551,33.02587645402603,47.940883773408224,530.2712053571429,0.03508676372230629,-0.11745455109914886,-0.004941910785385544,-0.008385786167351179,0.0011850732447184153,1.1150440889855862,0.48333333333333334,0.9344483660154831,-2.1537919950010442,-3.4940183626753853,-7.356799970977388e-05,-0.0419027012657961,0.7736111111111111,5,1.1854211585961794,0.0029318031124588267,1.35858710911455,0.009248713063635233,-0.0013545423270402424,0.004241759346830174
2025-08-29 13:00:00+00:00,0.0046419816788952,0.004455266843397219,0.003518654605191117,0.03628305663658562,0.01490998316249443,-0.005580584248528088,-832.5881101282113,621386581.3333334,1.951936839156299,0.023809523809523808,0.9597769124451995,22.611776831266795,50.59402828609454,637.4938616071429,0.03800943999094359,-0.11840301094196291,-0.005252521285103733,-0.008637584705338644,0.0011858156066313057,1.1851271837091597,0.48333333333333334,0.9200231962559685,-2.638559698158593,-4.222462115868567,-0.0001616506992100833,-0.05549997350656856,0.8708333333333333,6,-0.35452977309280953,0.07662871615058808,1.37323813584599,0.015769748008266332,-0.0005768643292962672,0.0031236440871480363
2025-08-29 14:00:00+00:00,0.004722649197328115,0.003765223312014805,0.003521460486996234,0.106577818182007,-0.015686524290300007,-0.019700596936258623,-1616.079274534133,811451733.3333334,1.7730873810753034,0.017857142857142856,0.797269319547388,20.637385549710416,53.5951591648077,692.4029017857143,0.04349953515616773,-0.12602533172116517,-0.005701348070403128,-0.00871950299438771,0.0011867514497454342,1.3032745643278205,0.48194444444444445,0.902829787641909,-3.2342559765484005,-5.140685359666463,-0.0004012892855625681,-0.06354870213993853,0.8763888888888889,7,3.238851009305945,0.001893616921920512,1.4311598247786803,0.011089143309150942,0.001661026344059291,0.0025795947241287207
2025-08-29 15:00:00+00:00,0.004747950843542013,0.0037415823678062336,0.0035158369481621187,0.11265467200639921,-0.017027902607296527,-0.02686215599060697,-1620.8989207736772,846957226.6666666,1.785927604787462,0.017857142857142856,0.7880415132973407,25.845373445047983,54.54016214700872,672.1328125,0.04718901607543615,-0.12602533172116517,-0.005252521285103733,-0.008712399891004006,0.0011878967748654495,1.200676981116528,0.48333333333333334,0.9113453244486078,-2.93602873562767,-4.672856619676104,-0.0004215067344301378,-0.0613316698447018,0.8791666666666667,8,0.19478417830647687,0.0026406924698231765,1.3558935900655318,0.004670942102390024,0.0016992470706533869,0.002562700255200375
2025-08-29 16:00:00+00:00,0.004824964865538349,0.0037412504344362285,0.00351683400999121,0.10287027651430761,-0.0039865061854467195,-0.03279227982508037,-1622.585019034349,882470229.3333334,1.798590560178902,0.017857142857142856,0.7753943373054585,29.30781637805019,54.523414728727225,689.46484375,0.04898964803645465,-0.12602533172116517,-0.005252521285103733,-0.008712399891004006,0.0011891662842126792,1.200676981116528,0.4847222222222222,0.9160246800413494,-2.7750184427823403,-4.417007007320848,-0.0003848634666997283,-0.058750661959572195,0.8986111111111111,9,0.19398995261525517,0.0030940259807346444,1.2851921665798973,0.005872710214919108,-0.00043395872332741003,0.002509637007887644
2025-08-29 17:00:00+00:00,0.004824865741788954,0.0037013571795132647,0.003517395256753826,0.11798093000360553,-0.0026834776927354854,-0.03686922769325299,-1628.4528475498894,894555648.0,1.7995135084566285,0.017857142857142856,0.7671420051039354,25.2294658410639,54.46709317093707,695.48046875,0.050343753209991945,-0.12602533172116517,-0.005252521285103733,-0.008712399891004006,0.0011904250963405262,1.200676981116528,0.48333333333333334,0.913442693506272,-2.8660169131747084,-4.563287014264924,-0.00043668956231449724,-0.060450031371562546,0.8972222222222223,10,0.32522809443119194,0.001889271043775024,1.2675811571654316,0.005001595189323634,-0.0004499421256825009,0.002477749383130498
2025-08-29 18:00:00+00:00,0.00483203086304997,0.0037069990394855835,0.003498326414821704,0.1206875027782395,-0.0010729000542191323,-0.03867263585731774,-1626.2208988844486,867030186.6666666,1.8274533394206802,0.017857142857142856,0.7671720534387754,25.093676606118265,54.5898199420094,697.0636160714286,0.05088667592138007,-0.1263032883180373,-0.004941910785385544,-0.008568405698218241,0.0011918527170005084,1.1296743412676606,0.48333333333333334,0.9207708241720817,-2.61668084134289,-4.191753168764379,-0.0004473884568768475,-0.06343942051898147,0.8986111111111111,11,-0.442928528846652,0.042284955738790465,1.3216122108976676,0.003494540619863877,-0.0003411819303441588,0.00237404926210695
2025-08-29 19:00:00+00:00,0.004828843777609451,0.003708414261183356,0.003495652093308016,0.1175208446527385,-0.0020826907369355476,-0.03917351783994147,-1625.759665591607,867030186.6666666,1.8274533394206802,0.017857142857142856,0.7679714714273133,27.0499907868289,54.00771348476262,717.0591517857143,0.04931172280793893,-0.1263032883180373,-0.004941910785385544,-0.008568405698218241,0.0011932454640766798,1.1296743412676606,0.48333333333333334,0.9176854941298832,-2.7206590410116682,-4.354987758117661,-0.0004358159762965292,-0.06242201395389023,0.8972222222222223,12,-0.5036209528755567,,1.3216122108976676,0.0060892129767084625,0.0008730771698619577,0.0023726373578962486
