r,p,ci_low,ci_high,n,feature,p_fdr,significant
0.2655290488604185,1.3829027930345545e-102,0.16389014424315523,0.354790022271816,6328,trend_strength_7d,4.4252889377105745e-101,True
0.1717264892457519,4.419321827307866e-43,0.07463056124320472,0.27497985318238144,6328,hurst_exponent,7.070914923692586e-42,True
0.1525214969458804,3.0348519319918613e-34,0.04375941600408735,0.2542977068352301,6328,jump_frequency_7d,3.237175394124652e-33,True
0.11430082749410651,7.471423290943921e-20,-0.0004149123167076235,0.2211848488048059,6328,atr,5.9771386327551365e-19,False
-0.1049989841484374,5.567539947771685e-17,-0.20112859758610233,-0.0015938384450509937,6328,volume_volatility_7d,3.5632255665738786e-16,False
-0.10126725911594664,1.8449075372580539e-13,-0.2453617636646249,0.025123475020268238,5257,max_drawdown_30d,9.839506865376287e-13,False
-0.07998796266551551,1.8670695831162417e-10,-0.1776665638000799,0.026538219122756612,6328,variance_ratio,8.535175237102819e-10,False
0.07677079260271438,9.665517714814227e-10,0.009507330699277542,0.1412301019537348,6328,spread_proxy,3.866207085925691e-09,False
-0.07628684232698271,1.2308087361754415e-09,-0.1881670106751364,0.03905057467658268,6328,momentum_return_7d,4.376208839734903e-09,False
0.0739889568072919,3.800686866735013e-09,-0.030777731380427394,0.17662422501879482,6328,volatility_24h,1.216219797355204e-08,False
0.07358215614373698,5.606003607026987e-09,-0.02351221876728574,0.16563594790557698,6259,volume_volatility_24h,1.6308374129533052e-08,False
0.05910135006825348,5.0419064545636715e-06,-0.04141342741863911,0.17435198353461243,5953,fear_greed_proxy,1.2410846657387499e-05,False
-0.057422212852285485,4.860211701143312e-06,-0.15689910392238365,0.05318630661205942,6328,return_entropy_7d,1.2410846657387499e-05,False
-0.04889426703350984,0.00015586199510148033,-0.16921629319951312,0.06907381215571481,5977,meanrev_signal,0.0003562559888033836,False
-0.044988293584105485,0.0005035976479187532,-0.16695266454305013,0.07328632148308319,5976,var_95_30d,0.0010743416488933402,False
-0.040225067578091876,0.0018696660179285227,-0.1499177450396607,0.08120437959476047,5976,tail_ratio_30d,0.0037393320358570454,False
-0.03516997264767544,0.006542016961659198,-0.1001161703116025,0.029304078823242728,5977,volume_z,0.01231438486900555,False
-0.03227192644906947,0.012771135860909107,-0.16221402148290512,0.08870197102255228,5953,vol_of_vol_30d,0.02150928144995218,False
0.03140568746918828,0.012475351794196694,-0.05529957025359357,0.128895792852019,6328,bb_width,0.02150928144995218,False
-0.025370314160868882,0.04358060729804788,-0.13889703251007923,0.06536653438072956,6328,volume_24h,0.06972897167687661,False
0.0241190344726731,0.055042761510203986,-0.0850409678793723,0.15172134833219109,6328,volatility_7d,0.08387468420602512,False
-0.019187821915146147,0.13800610910613648,-0.14868574947500207,0.10066898866300322,5977,win_rate_30d,0.20073615869983488,False
-0.017279029127880974,0.16933124251986323,-0.0926052093055645,0.06556843049554527,6328,rsi,0.23559129394067926,False
-0.011914214056315145,0.35712171139546667,-0.13607425479731192,0.10425654332691403,5976,volatility_30d,0.4761622818606222,False
0.006198485021675726,0.6318847607438434,-0.12810872385916247,0.12018395023335558,5976,cvar_95_30d,0.7817347735911923,False
-0.0061284577780271665,0.6357400478522939,-0.14260579586678993,0.11268325561490217,5976,profit_factor_30d,0.7817347735911923,False
-0.005699139583163543,0.6595887152175685,-0.13135045310682728,0.12080829365959617,5976,sharpe_ratio_30d,0.7817347735911923,False
-0.00460056144319835,0.7221611073914352,-0.12018131236170776,0.12574072305232684,5976,sortino_ratio_30d,0.8028702942733044,False
0.004049196582726928,0.7474177546382403,-0.07752631109853839,0.09628686984761006,6328,adx,0.8028702942733044,False
0.003961775652339115,0.7526909008812228,-0.1008574657507146,0.11770502878049147,6328,return_autocorr_7d,0.8028702942733044,False
-0.0030158195466151033,0.8104405292094307,-0.09403060927351926,0.08247864105683508,6328,regime_duration,0.8365837720871542,False
-0.0001432660820899225,0.9936237735733642,-0.08223721241895049,0.09957563859068636,3114,amihud_log,0.9936237735733642,False
