,si
2025-01-01 19:00:00+00:00,0.32525858446846323
2025-01-01 20:00:00+00:00,0.3267292214036639
2025-01-01 21:00:00+00:00,0.3262002145546681
2025-01-01 22:00:00+00:00,0.3260829863084508
2025-01-01 23:00:00+00:00,0.31560222084278367
2025-01-02 00:00:00+00:00,0.31715362792298707
2025-01-02 01:00:00+00:00,0.3188448769123785
2025-01-02 02:00:00+00:00,0.31315173752469017
2025-01-02 03:00:00+00:00,0.31304852409999673
2025-01-02 04:00:00+00:00,0.30172404601787994
2025-01-02 05:00:00+00:00,0.30272415292414256
2025-01-02 06:00:00+00:00,0.29936605831005303
2025-01-02 07:00:00+00:00,0.3012753360621867
2025-01-02 08:00:00+00:00,0.30345348184705623
2025-01-02 09:00:00+00:00,0.30582783756778376
2025-01-02 10:00:00+00:00,0.30834320652374514
2025-01-02 11:00:00+00:00,0.31095603620171275
2025-01-02 12:00:00+00:00,0.3136305516713589
2025-01-02 13:00:00+00:00,0.3163371166686786
2025-01-02 15:00:00+00:00,0.31198566588368637
2025-01-02 16:00:00+00:00,0.3042878130820643
2025-01-02 17:00:00+00:00,0.30731177259353337
2025-01-02 18:00:00+00:00,0.3049000423107755
2025-01-02 19:00:00+00:00,0.30781454784148876
2025-01-02 20:00:00+00:00,0.3107786993581547
2025-01-02 21:00:00+00:00,0.3137606355479535
2025-01-02 22:00:00+00:00,0.3084364385157853
2025-01-02 23:00:00+00:00,0.30608313083261507
2025-01-03 00:00:00+00:00,0.30897712801868893
2025-01-03 01:00:00+00:00,0.30577392714478036
2025-01-03 02:00:00+00:00,0.30861832978060744
2025-01-03 03:00:00+00:00,0.3115154444470497
2025-01-03 04:00:00+00:00,0.3144343281353088
2025-01-03 05:00:00+00:00,0.3118057072516103
2025-01-03 06:00:00+00:00,0.31071924211798496
2025-01-03 07:00:00+00:00,0.3105651089193979
2025-01-03 08:00:00+00:00,0.3110214929261199
2025-01-03 09:00:00+00:00,0.31190026295549833
2025-01-03 10:00:00+00:00,0.31352577069529775
2025-01-03 11:00:00+00:00,0.31437975397106954
2025-01-03 12:00:00+00:00,0.3158558399830469
2025-01-03 13:00:00+00:00,0.3166619127043029
2025-01-03 14:00:00+00:00,0.31771681093419446
2025-01-03 15:00:00+00:00,0.3187452646934751
2025-01-03 16:00:00+00:00,0.31995722709450347
2025-01-03 17:00:00+00:00,0.32131469488862885
2025-01-03 18:00:00+00:00,0.32278998336829146
2025-01-03 19:00:00+00:00,0.324361424956376
2025-01-03 20:00:00+00:00,0.3260106145133479
2025-01-03 21:00:00+00:00,0.32537063737893
2025-01-03 22:00:00+00:00,0.3251851085767157
2025-01-03 23:00:00+00:00,0.32638309229600404
2025-01-04 00:00:00+00:00,0.31629421391751933
2025-01-04 01:00:00+00:00,0.31649091602899526
2025-01-04 02:00:00+00:00,0.3180191453682397
2025-01-04 03:00:00+00:00,0.3196786429288049
2025-01-04 04:00:00+00:00,0.313664430862022
2025-01-04 05:00:00+00:00,0.3135671074279873
2025-01-04 06:00:00+00:00,0.3152018310315243
2025-01-04 07:00:00+00:00,0.31529847024754654
2025-01-04 08:00:00+00:00,0.316829375263474
2025-01-04 09:00:00+00:00,0.3170469080275473
2025-01-04 10:00:00+00:00,0.31763304623510735
2025-01-04 11:00:00+00:00,0.3187832198138286
2025-01-04 12:00:00+00:00,0.3201067304629098
2025-01-04 13:00:00+00:00,0.32039305666937246
2025-01-04 14:00:00+00:00,0.3215944716712822
2025-01-04 15:00:00+00:00,0.32293650323368683
2025-01-04 16:00:00+00:00,0.3229388167236854
2025-01-04 17:00:00+00:00,0.324140859926341
2025-01-04 18:00:00+00:00,0.3254637642248923
2025-01-04 19:00:00+00:00,0.32520678780368817
2025-01-04 20:00:00+00:00,0.32638268647684165
2025-01-04 21:00:00+00:00,0.3276678803135247
2025-01-04 22:00:00+00:00,0.32717981958876763
2025-01-04 23:00:00+00:00,0.3283178594114874
2025-01-05 00:00:00+00:00,0.3279195730078952
2025-01-05 01:00:00+00:00,0.3278512221035671
2025-01-05 02:00:00+00:00,0.32803860154028763
2025-01-05 03:00:00+00:00,0.3285856526499429
2025-01-05 04:00:00+00:00,0.31540700078330697
2025-01-05 05:00:00+00:00,0.3168867928134699
2025-01-05 06:00:00+00:00,0.31850225377277175
2025-01-05 07:00:00+00:00,0.32022721826201195
2025-01-05 08:00:00+00:00,0.3201722643438325
2025-01-05 09:00:00+00:00,0.31307389820965303
2025-01-05 10:00:00+00:00,0.30944027219218906
2025-01-05 11:00:00+00:00,0.3111245962128848
2025-01-05 12:00:00+00:00,0.30893510475700514
2025-01-05 13:00:00+00:00,0.3106573490704726
2025-01-05 14:00:00+00:00,0.309374760059953
2025-01-05 15:00:00+00:00,0.311096001824438
2025-01-05 16:00:00+00:00,0.31301078183072184
2025-01-05 17:00:00+00:00,0.3150754851788178
2025-01-05 18:00:00+00:00,0.31367266799573656
2025-01-05 19:00:00+00:00,0.3156476885299502
2025-01-05 20:00:00+00:00,0.3177396845539163
2025-01-05 21:00:00+00:00,0.3199181113192624
2025-01-05 22:00:00+00:00,0.32215663468452627
2025-01-05 23:00:00+00:00,0.32443151373071366
2025-01-06 00:00:00+00:00,0.3197885753933778
2025-01-06 01:00:00+00:00,0.3170900629284136
2025-01-06 02:00:00+00:00,0.31923376348138144
2025-01-06 03:00:00+00:00,0.3214491183428394
2025-01-06 04:00:00+00:00,0.32371096398756405
2025-01-06 05:00:00+00:00,0.32599805797725623
2025-01-06 06:00:00+00:00,0.32829159080196724
2025-01-06 07:00:00+00:00,0.33032989571926863
2025-01-06 08:00:00+00:00,0.32519396230014574
2025-01-06 09:00:00+00:00,0.31318081308725665
2025-01-06 10:00:00+00:00,0.308557606993339
2025-01-06 11:00:00+00:00,0.30520549454483337
2025-01-06 12:00:00+00:00,0.30819347843918476
2025-01-06 13:00:00+00:00,0.30538232609213645
2025-01-06 14:00:00+00:00,0.3083149037469606
2025-01-06 15:00:00+00:00,0.3112984873404515
2025-01-06 16:00:00+00:00,0.31157916337788116
2025-01-06 17:00:00+00:00,0.3173948051517602
2025-01-06 18:00:00+00:00,0.32544311412479654
2025-01-06 19:00:00+00:00,0.33217070185616493
2025-01-06 20:00:00+00:00,0.34381729124537075
2025-01-06 21:00:00+00:00,0.35455652533918447
2025-01-06 22:00:00+00:00,0.36668437539998744
2025-01-06 23:00:00+00:00,0.38049452224223257
2025-01-07 00:00:00+00:00,0.3960204708661763
2025-01-07 01:00:00+00:00,0.41130597617548514
2025-01-07 02:00:00+00:00,0.42804747049913117
2025-01-07 03:00:00+00:00,0.44583251499431875
2025-01-07 04:00:00+00:00,0.46310289457970055
2025-01-07 05:00:00+00:00,0.4811280540696248
2025-01-07 06:00:00+00:00,0.4996002776066335
2025-01-07 07:00:00+00:00,0.5182794914291958
2025-01-07 08:00:00+00:00,0.5337465357419258
2025-01-07 09:00:00+00:00,0.5518713557634791
2025-01-07 10:00:00+00:00,0.5671404824367208
2025-01-07 11:00:00+00:00,0.582683442440202
2025-01-07 12:00:00+00:00,0.5982353563248068
2025-01-07 13:00:00+00:00,0.6136161277916763
2025-01-07 14:00:00+00:00,0.6286987823142438
2025-01-07 15:00:00+00:00,0.6433920562558397
2025-01-07 16:00:00+00:00,0.6414356832062056
2025-01-07 17:00:00+00:00,0.6406622714431531
2025-01-07 18:00:00+00:00,0.6407037605578088
2025-01-07 19:00:00+00:00,0.6413327926924597
2025-01-07 20:00:00+00:00,0.6423998814731608
2025-01-07 21:00:00+00:00,0.6442857154247075
2025-01-07 22:00:00+00:00,0.6381482264278555
2025-01-07 23:00:00+00:00,0.6351995198244887
2025-01-08 00:00:00+00:00,0.6362015893954414
2025-01-08 01:00:00+00:00,0.6348651054832884
